DIST,AMP,TEMP,VOLT,Timestamp
-0004,0309,1199,106,2024-12-30 03:38:00.088278
26797,0236,1199,106,2024-12-30 03:38:00.104320
13398,0000,1199,106,2024-12-30 03:38:00.135607
04646,0000,1199,106,2024-12-30 03:38:00.152141
05394,0000,1199,106,2024-12-30 03:38:00.168128
04279,0000,1199,106,2024-12-30 03:38:00.184270
04397,0000,1199,106,2024-12-30 03:38:00.200357
04921,0000,1199,106,2024-12-30 03:38:00.216207
12252,0000,1199,106,2024-12-30 03:38:00.232166
10137,0000,1199,106,2024-12-30 03:38:00.248202
22680,0000,1199,106,2024-12-30 03:38:00.264122
03046,0000,1199,106,2024-12-30 03:38:00.280107
45523,0000,1199,106,2024-12-30 03:38:00.311971
00516,0000,1199,106,2024-12-30 03:38:00.328099
41644,0000,1199,106,2024-12-30 03:38:00.344092
02262,0000,1199,106,2024-12-30 03:38:00.360089
29855,0000,1199,106,2024-12-30 03:38:00.376091
25028,0000,1199,106,2024-12-30 03:38:00.392087
24842,0000,1199,106,2024-12-30 03:38:00.408079
01965,0000,1199,106,2024-12-30 03:38:00.424089
04340,0000,1199,106,2024-12-30 03:38:00.440083
05083,0000,1199,106,2024-12-30 03:38:00.471595
24361,0000,1199,106,2024-12-30 03:38:00.488060
00667,0000,1199,106,2024-12-30 03:38:00.504061
05322,0000,1199,106,2024-12-30 03:38:00.520048
02820,0000,1199,106,2024-12-30 03:38:00.536052
07143,0000,1199,106,2024-12-30 03:38:00.552054
02019,0000,1199,106,2024-12-30 03:38:00.568055
04287,0000,1199,106,2024-12-30 03:38:00.584038
03631,0000,1199,106,2024-12-30 03:38:00.600075
02334,0000,1199,106,2024-12-30 03:38:00.616036
03755,0000,1199,106,2024-12-30 03:38:00.647981
40186,0000,1199,106,2024-12-30 03:38:00.664038
23620,0000,1199,106,2024-12-30 03:38:00.680041
04373,0000,1199,106,2024-12-30 03:38:00.696028
48774,0000,1199,106,2024-12-30 03:38:00.712018
01467,0000,1199,106,2024-12-30 03:38:00.728016
04472,0000,1199,106,2024-12-30 03:38:00.744020
00565,0000,1199,106,2024-12-30 03:38:00.760013
06015,0000,1199,106,2024-12-30 03:38:00.776012
06160,0000,1199,106,2024-12-30 03:38:00.807635
01669,0000,1199,106,2024-12-30 03:38:00.824008
05194,0000,1199,106,2024-12-30 03:38:00.840007
01874,0000,1199,106,2024-12-30 03:38:00.856009
38534,0000,1199,106,2024-12-30 03:38:00.872006
03865,0000,1199,106,2024-12-30 03:38:00.888017
08566,0000,1199,106,2024-12-30 03:38:00.904016
05368,0000,1199,106,2024-12-30 03:38:00.920022
04519,0000,1199,106,2024-12-30 03:38:00.936021
01413,0000,1199,106,2024-12-30 03:38:00.952028
04671,0000,1199,106,2024-12-30 03:38:00.984027
02919,0000,1199,106,2024-12-30 03:38:01.000028
00571,0000,1199,106,2024-12-30 03:38:01.016028
05063,0001,1199,106,2024-12-30 03:38:01.031960
01481,0000,1199,106,2024-12-30 03:38:01.047962
01333,0000,1199,106,2024-12-30 03:38:01.063954
05298,0000,1199,106,2024-12-30 03:38:01.079956
35356,0000,1199,106,2024-12-30 03:38:01.095949
16387,0000,1199,106,2024-12-30 03:38:01.111947
20882,0001,1199,106,2024-12-30 03:38:01.143668
01478,0000,1199,106,2024-12-30 03:38:01.159939
02517,0000,1199,106,2024-12-30 03:38:01.175937
27268,0001,1199,106,2024-12-30 03:38:01.191933
02905,0000,1199,106,2024-12-30 03:38:01.207929
00987,0000,1199,106,2024-12-30 03:38:01.223932
05386,0000,1199,106,2024-12-30 03:38:01.239936
64303,0000,1199,106,2024-12-30 03:38:01.255914
33917,0000,1198,106,2024-12-30 03:38:01.271916
23957,0000,1199,106,2024-12-30 03:38:01.303305
