DIST,AMP,TEMP,VOLT,Timestamp
03021,0000,1213,106,2024-12-30 06:04:52.182992
19192,0000,1214,106,2024-12-30 06:04:52.183756
02336,0000,1213,106,2024-12-30 06:04:52.184460
54797,0000,1213,106,2024-12-30 06:04:52.185161
04703,0000,1213,106,2024-12-30 06:04:52.185863
20208,0000,1213,106,2024-12-30 06:04:52.186576
28616,0001,1214,106,2024-12-30 06:04:52.187280
19357,0000,1213,106,2024-12-30 06:04:52.187983
00679,0000,1213,106,2024-12-30 06:04:52.188684
20281,0000,1213,106,2024-12-30 06:04:52.189387
19480,0001,1213,106,2024-12-30 06:04:52.190086
47946,0000,1213,106,2024-12-30 06:04:52.190799
00855,0001,1213,106,2024-12-30 06:04:52.191497
05466,0001,1213,106,2024-12-30 06:04:52.192197
05376,0000,1213,106,2024-12-30 06:04:52.192905
29314,0000,1213,106,2024-12-30 06:04:52.193629
50606,0000,1213,106,2024-12-30 06:04:52.194324
66985,0000,1213,106,2024-12-30 06:04:52.195042
47495,0000,1213,106,2024-12-30 06:04:52.195747
51747,0000,1213,106,2024-12-30 06:04:52.196449
21011,0000,1214,106,2024-12-30 06:04:52.197153
24052,0000,1213,106,2024-12-30 06:04:52.197855
12164,0001,1213,106,2024-12-30 06:04:52.198565
34666,0000,1213,106,2024-12-30 06:04:52.199262
14857,0000,1213,106,2024-12-30 06:04:52.199963
00092,0000,1213,106,2024-12-30 06:04:52.200667
30194,0000,1213,106,2024-12-30 06:04:52.201372
51360,0000,1213,106,2024-12-30 06:04:52.202074
23422,0000,1213,106,2024-12-30 06:04:52.202780
61542,0000,1213,106,2024-12-30 06:04:52.203484
15674,0000,1214,106,2024-12-30 06:04:52.204189
00326,0000,1213,106,2024-12-30 06:04:52.204888
09254,0000,1214,106,2024-12-30 06:04:52.205588
00692,0000,1213,106,2024-12-30 06:04:52.206288
05572,0000,1213,106,2024-12-30 06:04:52.206998
05440,0000,1213,106,2024-12-30 06:04:52.207704
44030,0001,1213,106,2024-12-30 06:04:52.208413
