DIST,AMP,TEMP,VOLT,Timestamp
03372,0000,1219,106,2024-12-30 02:39:04.572253
06166,0000,1219,106,2024-12-30 02:39:04.573025
22848,0001,1219,106,2024-12-30 02:39:04.573733
05324,0000,1220,106,2024-12-30 02:39:04.574431
13093,0000,1219,106,2024-12-30 02:39:04.575162
00233,0000,1219,106,2024-12-30 02:39:04.575866
03651,0000,1219,106,2024-12-30 02:39:04.576565
63684,0000,1219,106,2024-12-30 02:39:04.577265
07747,0000,1219,106,2024-12-30 02:39:04.577969
34500,0000,1220,106,2024-12-30 02:39:04.578682
02893,0000,1219,106,2024-12-30 02:39:04.579386
30530,0000,1219,106,2024-12-30 02:39:04.580089
00588,0000,1219,106,2024-12-30 02:39:04.580789
05324,0000,1219,106,2024-12-30 02:39:04.581492
04486,0000,1219,106,2024-12-30 02:39:04.582204
36180,0000,1219,106,2024-12-30 02:39:04.582951
20868,0001,1219,106,2024-12-30 02:39:04.583660
07901,0000,1219,106,2024-12-30 02:39:04.584363
02513,0000,1219,106,2024-12-30 02:39:04.585064
09533,0000,1219,106,2024-12-30 02:39:04.585765
03041,0000,1219,106,2024-12-30 02:39:04.586473
02268,0000,1219,106,2024-12-30 02:39:04.587177
19004,0000,1219,106,2024-12-30 02:39:04.587880
02309,0000,1219,106,2024-12-30 02:39:04.588582
43468,0000,1219,106,2024-12-30 02:39:04.589286
05443,0000,1219,106,2024-12-30 02:39:04.589984
00652,0000,1219,106,2024-12-30 02:39:04.590695
49164,0000,1219,106,2024-12-30 02:39:04.591398
00716,0000,1219,106,2024-12-30 02:39:04.592096
01432,0000,1220,106,2024-12-30 02:39:04.592800
16178,0001,1219,106,2024-12-30 02:39:04.593501
61823,0000,1219,106,2024-12-30 02:39:04.594201
42404,0000,1219,106,2024-12-30 02:39:04.594919
05069,0001,1219,106,2024-12-30 02:39:04.595622
03756,0000,1219,106,2024-12-30 02:39:04.596326
46621,0000,1219,106,2024-12-30 02:39:04.597029
04135,0000,1219,106,2024-12-30 02:39:04.597741
00207,0000,1219,106,2024-12-30 02:39:04.598493
40876,0000,1220,106,2024-12-30 02:39:04.599221
03766,0000,1220,106,2024-12-30 02:39:04.599966
03549,0000,1220,106,2024-12-30 02:39:04.600750
04592,0000,1219,106,2024-12-30 02:39:04.601765
08872,0000,1220,106,2024-12-30 02:39:04.602547
21835,0000,1219,106,2024-12-30 02:39:04.603250
55664,0000,1219,106,2024-12-30 02:39:04.604026
01497,0000,1220,106,2024-12-30 02:39:04.604787
01745,0001,1219,106,2024-12-30 02:39:04.605485
02202,0000,1219,106,2024-12-30 02:39:04.606183
66706,0000,1219,106,2024-12-30 02:39:04.606942
02820,0000,1219,106,2024-12-30 02:39:04.607642
03741,0000,1219,106,2024-12-30 02:39:04.608339
17755,0000,1219,106,2024-12-30 02:39:04.609034
44753,0000,1219,106,2024-12-30 02:39:04.609731
03090,0000,1220,106,2024-12-30 02:39:04.610434
57598,0000,1219,106,2024-12-30 02:39:04.611149
18583,0000,1219,106,2024-12-30 02:39:04.611846
04622,0000,1219,106,2024-12-30 02:39:04.612541
04524,0000,1219,106,2024-12-30 02:39:04.613240
35335,0000,1219,106,2024-12-30 02:39:04.613937
31681,0000,1219,106,2024-12-30 02:39:04.614641
56791,0000,1219,106,2024-12-30 02:39:04.615337
08802,0000,1219,106,2024-12-30 02:39:04.616031
10486,0000,1219,106,2024-12-30 02:39:04.616731
13869,0001,1219,106,2024-12-30 02:39:04.617430
16979,0000,1219,106,2024-12-30 02:39:04.618134
46525,0000,1219,106,2024-12-30 02:39:04.618847
05326,0000,1219,106,2024-12-30 02:39:04.619547
14678,0000,1219,106,2024-12-30 02:39:04.620245
00433,0000,1219,106,2024-12-30 02:39:04.620944
14045,0000,1220,106,2024-12-30 02:39:04.621636
02220,0000,1220,106,2024-12-30 02:39:04.622329
28787,0000,1219,106,2024-12-30 02:39:04.623041
04095,0000,1219,106,2024-12-30 02:39:04.623739
01015,0000,1219,106,2024-12-30 02:39:04.624433
53411,0000,1219,106,2024-12-30 02:39:04.625128
02762,0000,1219,106,2024-12-30 02:39:04.625823
07594,0000,1219,106,2024-12-30 02:39:04.626532
17024,0000,1220,106,2024-12-30 02:39:04.627233
27053,0000,1219,106,2024-12-30 02:39:04.627932
02711,0000,1220,106,2024-12-30 02:39:04.628630
33103,0000,1219,106,2024-12-30 02:39:04.629331
00077,0001,1220,106,2024-12-30 02:39:04.630033
18395,0000,1219,106,2024-12-30 02:39:04.630745
02259,0000,1220,106,2024-12-30 02:39:04.631448
03569,0000,1220,106,2024-12-30 02:39:04.632148
04309,0000,1219,106,2024-12-30 02:39:04.632850
04674,0000,1220,106,2024-12-30 02:39:04.633556
-0010,1228,1220,106,2024-12-30 02:39:04.634257
-0010,1233,1220,106,2024-12-30 02:39:04.634973
-0009,1230,1219,106,2024-12-30 02:39:04.641928
-0009,1237,1220,106,2024-12-30 02:39:04.657916
-0010,1233,1220,106,2024-12-30 02:39:04.673902
-0009,1214,1219,106,2024-12-30 02:39:04.689906
-0009,1227,1219,106,2024-12-30 02:39:04.721260
-0008,1226,1219,106,2024-12-30 02:39:04.737908
-0009,1226,1220,106,2024-12-30 02:39:04.753905
-0009,1220,1219,106,2024-12-30 02:39:04.769905
-0009,1235,1220,106,2024-12-30 02:39:04.785883
-0009,1226,1220,106,2024-12-30 02:39:04.801888
-0009,1222,1220,106,2024-12-30 02:39:04.817880
-0009,1228,1220,106,2024-12-30 02:39:04.833872
-0010,1227,1219,106,2024-12-30 02:39:04.849873
-0009,1223,1220,106,2024-12-30 02:39:04.865868
-0010,1225,1219,106,2024-12-30 02:39:04.897629
-0009,1236,1220,106,2024-12-30 02:39:04.913862
-0010,1220,1219,106,2024-12-30 02:39:04.929853
-0009,1217,1219,106,2024-12-30 02:39:04.945849
-0010,1227,1220,106,2024-12-30 02:39:04.961848
-0009,1237,1219,106,2024-12-30 02:39:04.977843
-0009,1226,1220,106,2024-12-30 02:39:04.993842
-0009,1231,1220,106,2024-12-30 02:39:05.009834
-0009,1234,1219,106,2024-12-30 02:39:05.025847
-0009,1241,1219,106,2024-12-30 02:39:05.057260
-0009,1221,1220,106,2024-12-30 02:39:05.073849
-0009,1247,1219,106,2024-12-30 02:39:05.089816
-0008,1244,1219,106,2024-12-30 02:39:05.105812
-0009,1239,1219,106,2024-12-30 02:39:05.121827
-0010,1230,1220,106,2024-12-30 02:39:05.137801
-0009,1223,1220,106,2024-12-30 02:39:05.153805
-0009,1220,1220,106,2024-12-30 02:39:05.169800
-0009,1233,1219,106,2024-12-30 02:39:05.185792
-0009,1227,1220,106,2024-12-30 02:39:05.201792
-0009,1238,1220,106,2024-12-30 02:39:05.233661
-0010,1226,1220,106,2024-12-30 02:39:05.249805
-0009,1240,1220,106,2024-12-30 02:39:05.265782
-0009,1246,1219,106,2024-12-30 02:39:05.281770
-0009,1225,1220,106,2024-12-30 02:39:05.297774
-0009,1233,1220,106,2024-12-30 02:39:05.313784
-0010,1228,1220,106,2024-12-30 02:39:05.329769
-0009,1230,1220,106,2024-12-30 02:39:05.345765
-0009,1239,1220,106,2024-12-30 02:39:05.361749
-0009,1240,1220,106,2024-12-30 02:39:05.393288
-0008,1216,1219,106,2024-12-30 02:39:05.409753
-0010,1231,1219,106,2024-12-30 02:39:05.425740
-0008,1236,1220,106,2024-12-30 02:39:05.441747
-0009,1240,1220,106,2024-12-30 02:39:05.457734
-0008,1225,1219,106,2024-12-30 02:39:05.473737
-0010,1239,1220,106,2024-12-30 02:39:05.489739
-0009,1245,1220,106,2024-12-30 02:39:05.505727
-0009,1234,1220,106,2024-12-30 02:39:05.521717
-0010,1242,1220,106,2024-12-30 02:39:05.537719
-0009,1230,1220,106,2024-12-30 02:39:05.569684
-0009,1226,1219,106,2024-12-30 02:39:05.585710
-0008,1231,1220,106,2024-12-30 02:39:05.601711
-0010,1232,1220,106,2024-12-30 02:39:05.617698
-0009,1214,1220,106,2024-12-30 02:39:05.633695
-0009,1234,1220,106,2024-12-30 02:39:05.649693
