DIST,AMP,TEMP,VOLT,Timestamp
-0005,2300,1213,106,2024-12-30 08:20:20.574880
15654,1883,1213,106,2024-12-30 08:20:20.591338
24993,0000,1213,106,2024-12-30 08:20:20.606759
36166,0000,1213,106,2024-12-30 08:20:20.638634
15468,0000,1213,106,2024-12-30 08:20:20.654635
01778,0001,1213,106,2024-12-30 08:20:20.670817
00138,0000,1213,106,2024-12-30 08:20:20.687128
14722,0000,1212,106,2024-12-30 08:20:20.702728
06278,0000,1213,106,2024-12-30 08:20:20.718685
19302,0001,1212,106,2024-12-30 08:20:20.734626
01821,0000,1213,106,2024-12-30 08:20:20.750638
57624,0000,1213,106,2024-12-30 08:20:20.766624
55638,0000,1213,106,2024-12-30 08:20:20.798253
00890,0000,1213,106,2024-12-30 08:20:20.814609
06375,0000,1213,106,2024-12-30 08:20:20.830603
04653,0000,1212,106,2024-12-30 08:20:20.846593
03648,0000,1213,106,2024-12-30 08:20:20.862602
49973,0000,1213,106,2024-12-30 08:20:20.878586
02669,0000,1213,106,2024-12-30 08:20:20.894590
17161,0000,1213,106,2024-12-30 08:20:20.910580
04650,0000,1212,106,2024-12-30 08:20:20.926585
23111,0000,1213,106,2024-12-30 08:20:20.957892
09176,0000,1212,106,2024-12-30 08:20:20.974577
04904,0000,1213,106,2024-12-30 08:20:20.990571
30924,0000,1213,106,2024-12-30 08:20:21.006563
19357,0000,1213,106,2024-12-30 08:20:21.022562
02645,0000,1213,106,2024-12-30 08:20:21.038559
00665,0000,1213,106,2024-12-30 08:20:21.054564
04358,0000,1213,106,2024-12-30 08:20:21.070553
03556,0000,1213,106,2024-12-30 08:20:21.086587
10873,0000,1213,106,2024-12-30 08:20:21.102551
05531,0000,1213,106,2024-12-30 08:20:21.134290
08561,0000,1213,106,2024-12-30 08:20:21.150544
12692,0000,1213,106,2024-12-30 08:20:21.166561
31180,0000,1212,106,2024-12-30 08:20:21.182534
00829,0000,1213,106,2024-12-30 08:20:21.198538
59831,0000,1213,106,2024-12-30 08:20:21.214534
58196,0000,1212,106,2024-12-30 08:20:21.230536
04676,0000,1212,106,2024-12-30 08:20:21.246543
04658,0000,1212,106,2024-12-30 08:20:21.262522
58221,0000,1213,106,2024-12-30 08:20:21.293934
08634,0000,1213,106,2024-12-30 08:20:21.310534
27884,0000,1213,106,2024-12-30 08:20:21.326514
02942,0000,1212,106,2024-12-30 08:20:21.342509
07555,0000,1213,106,2024-12-30 08:20:21.358511
52250,0000,1212,106,2024-12-30 08:20:21.374502
33837,0000,1213,106,2024-12-30 08:20:21.390492
66156,0000,1213,106,2024-12-30 08:20:21.406490
03548,0000,1213,106,2024-12-30 08:20:21.422493
04656,0000,1212,106,2024-12-30 08:20:21.438488
03650,0001,1213,106,2024-12-30 08:20:21.470302
10102,0000,1212,106,2024-12-30 08:20:21.486472
11681,0000,1212,106,2024-12-30 08:20:21.502479
08346,0000,1213,106,2024-12-30 08:20:21.518468
06941,0000,1212,106,2024-12-30 08:20:21.534475
06239,0000,1212,106,2024-12-30 08:20:21.550474
04607,0000,1213,106,2024-12-30 08:20:21.566478
01802,0000,1213,106,2024-12-30 08:20:21.582454
57330,0000,1212,106,2024-12-30 08:20:21.598450
28637,0000,1212,106,2024-12-30 08:20:21.629946
49082,0000,1212,106,2024-12-30 08:20:21.646432
03897,0000,1212,106,2024-12-30 08:20:21.662429
03849,0000,1212,106,2024-12-30 08:20:21.678435
18468,0000,1212,106,2024-12-30 08:20:21.694424
53453,0000,1212,106,2024-12-30 08:20:21.710426
23962,0001,1213,106,2024-12-30 08:20:21.726418
05462,0001,1213,106,2024-12-30 08:20:21.742426
52357,0000,1212,106,2024-12-30 08:20:21.758414
16472,0000,1212,106,2024-12-30 08:20:21.774414
57358,0001,1212,106,2024-12-30 08:20:21.806333
18283,0000,1212,106,2024-12-30 08:20:21.822401
00156,0001,1213,106,2024-12-30 08:20:21.838408
10787,0000,1212,106,2024-12-30 08:20:21.854404
03072,0000,1212,106,2024-12-30 08:20:21.870395
50511,0000,1212,106,2024-12-30 08:20:21.886390
44646,0000,1213,106,2024-12-30 08:20:21.902390
21183,0000,1213,106,2024-12-30 08:20:21.918383
54110,0000,1212,106,2024-12-30 08:20:21.934387
05489,0000,1212,106,2024-12-30 08:20:21.965985
00870,0000,1212,106,2024-12-30 08:20:21.982374
03824,0000,1212,106,2024-12-30 08:20:21.998362
16516,0000,1212,106,2024-12-30 08:20:22.014365
02234,0000,1212,106,2024-12-30 08:20:22.030359
01798,0001,1212,106,2024-12-30 08:20:22.046358
37882,0000,1212,106,2024-12-30 08:20:22.062352
04586,0000,1212,106,2024-12-30 08:20:22.078359
00061,0001,1212,106,2024-12-30 08:20:22.094348
